0,1,match
family planning association of maine,family planning association of me,1
family planning association of maine,family planning association of maine inc,1
feminist majority,feminist majority foundation,1
girls incorporated,copy girls inc,1
lutherans concerned north america,lutherans concerned,1
national association for the advancement of colored people legal defense and educational fund inc,national association for the advancement of colored people,1
national bar association,nba,1
national gay and lesbian task force,national gay & lesbian task force,1
national gay and lesbian task force,national gay and lesbian task force inc,1
national gay and lesbian task force,national gay & lesbian task force foundation,1
national gay and lesbian task force,national gay & lesbian task force action fund,1
national gay and lesbian task force,national gay & lesbian task force policy institute,1
national institute for women of color,national institute for,1
national organization for women foundation inc,natl organization for women,1
national organization for women foundation inc,national organization for women,1
national organization for women foundation inc,national organization for wome,1
national organization for women foundation inc,national org for women,1
national organization for women foundation inc,national orgfor women,1
national organization for women foundation inc,national organization for womennow,1
people for the american way fo undation,people for the america way foundation,1
people for the american way fo undation,people for the american way foundation,1
people for the american way fo undation,people for the american way,1
planned parenthood federation of america inc,planned parenthood,1
planned parenthood federation of america inc,"planned parenthood,",1
planned parenthood federation of america inc,planned parenthood federation of america,1
planned parenthood federation of america inc,planned parent hood,1
planned parenthood federation of america inc,planned parenthood federation of america ppfa,1
southern christian leadership conference,southern christian leadership,1
young womens christian association,ywca of the usa,1
young womens christian association,young womens christian assoc,1
young womens christian association of the united states of america,young womens christian assoc,1
young womens christian association of the united states of america,ywca of the usa,1
young womens christian association of the united states of america,ywc corporation,1
northwest grocery association,nw grocery association,1
international union of operating engineers,international unit of operating engineers,1
lumbermens association of texas,lumbermans association of texas,1
bf goodrich company,b f goodrich company,1
telecommunications industry association,telecommunications industry assoc,1
boat people sos,boat people sos inc,1
california association of hospitals and health systems,california association of hospitals & health systems,1
eastern associated coal corp,eastern associated coal,1
national association of insurance brokers,national assoc of insurance broker,1
knights of columbus,knights of columbus 12055,1
aetna life insurance co,aetna insurance co,1
operating engineers union local no 3,operating engineers local no 3,1
pfizer inc,pfzer inc,1
texas association of builders,"texas association of builders,",1
abbott laboratories inc,abbott laboratories,1
augusta chronicle,the augusta chronicle,1
american civil liberties union foundation of san diego and imperial counties,american civil liberties union aclu san diego & imperial counties,1
american civil liberties union of san diego and imperial counties,american civil liberties union aclu san diego & imperial counties,1
pepsi bottling group inc,"the pepsi bottling group, inc",1
qualcomm inc,qual comm inc,1
united artists theater circuit inc,"united artists theatre circuit, inc",1
american occupational therapy association,american occupational therapy association aota,1
vietnam veterans of america,vietnam veterns of america,1
tunica-biloxi tribe of louisiana,tunica biloxi indian tribe of louisiana,1
liberty mutual group,liberty mutual group inc,1
columbia river fishermen's protective union,columbia river fishermens protective union,1
granite construction co,granite constuction,1
sacramento county deputy sheriffs association,sacramento county deputy sheriff s assoc,1
manufacturers hanover trust co,manufacturers hanover corp,1
prairie island indian community,prarie island indian community,1
coca-cola enterprises inc,"coca cola enterprises inc,",1
california rifle and pistol association,california rifle & pistol association,1
salt river valley water users association,salt river valley water users assn pic,1
agua caliente band of cahuilla indians,agua caliente band of cahilla indians,1
american federation of state county and municipal employees,"am federation of state, county & municipal employees",1
national stone sand and gravel association,national stone sand & gravel association,1
howard jarvis taxpayers association,howard jarvis taxpayer assoication,1
pfizer inc,pifizer inc,1
american federation of state county and municipal employees,"american federation of state county & municipal employees pac,",1
naral pro choice oregon,naral pro-choice oreogn,1
amalgamated transit union,amalga transit union,1
virginia manufacturers association,virginia manufactures assoc,1
duquesne light company,duquesne light co,1
black women organized for political action,black women organized for pol action,1
public affairs council,public affairs cons,1
campaign for tobacco-free kids,campaign for tobacco free kids,1
cosmetic toiletry and fragrance association,cosmetic toiletry & fragrance assn,1
national association of independent insurers,national association of independent insurance,1
roadway express inc,roadway express,1
appalachian power co,appalachian power comm,1
agua caliente band of cahuilla indians,agua claiente band of cahuilla indians,1
california cable television association,california cable telecommunications association,1
att services inc,at&t services inc,1
standard insurance company,standard insurance co,1
hoffmann-la roche inc,hoffman-la roche inc,1
national conference of firemen and oilers,national conference of fireman & oilers,1
national council of senior citizens,national council of senior cit inc,1
association of oregon counties,association of oregon faculties,1
american federation of state county and municipal employees,american federation of state county & municipal employees aflci,1
spirit of freedom republican womens club,spirit of freedom republican women,1
dell computer corp,dell computers corp,1
winstar communications inc,winstar communications llc,1
national restaurant association,national resturant association,1
american consulting engineers council,american consulting engineers coun,1
new york med college,new york medical college,1
william morris agency,william morris agency inc,1
national marine manufacturers association,national marine manufacturers assoc,1
national association of letter carriers,p a l national association of letter carriers,1
american college of emergency physicians,amer college of emerg physicians,1
board of trade of the city of chicago,board of trade of city of chicago,1
massachusetts gay and lesbian political caucus,massachusetts gay & lesbian political cmte,1
service employees international union,service employees intnl union,1
american federation of state county and municipal employees,"american federation of state county and municipal employees,",1
american federation of state county and municipal employees,american federation of state county & muni empl,1
california psychiatric association,ca psychiatric association,1
sheet metal workers international association,sheet metal workers international assoc pal,1
national association of mutual insurance companies,national assn of mutual insurance companies,1
amalgamated transit union,amalgamated transit union loca,1
san francisco aids foundation,the san francisco aids foundation,1
cadwalader wickersham  taft,cadwalader wickershan & taft llp,1
national association of chain drug stores,national association of chairug stores,1
reed elsevier inc,reed elsevire inc,1
petroleum marketers association of america inc,petroleum marketers association of america,1
home builders association of south carolina,home builders assoc of south carolina,1
american family association inc,american family association,1
american federation of state county and municipal employees,"american federation of state, county, & municipal employees scc",1
grocery manufacturers association,grocery manufacturers assn,1
united states automotive association,united states automobile association usaa,1
shapiro haber and urmy llp,shapiro haber & urmy llp,1
aphilip randolph institute,a philip randolph inistitute,1
gibson dunn  crutcher,gibson dunn and crutcher llp,1
alaska native health board,alaska native health board inc,1
american college of radiology,american college of radiology radpac,1
united teachers los angeles,united teachers of los angeles,1
united parcel service inc,united parcel services-pac,1
cvs pharmacy inc,cvs pharmacy,1
anheuser-busch co inc,anneuser busch cos inc,1
mcgrawhill companies inc,mcgraw hill companies,1
americas health insurance plans,"america s health insurance plans pac,",1
international brotherhood of electrical workers,international brotherhood of electical workers,1
bristol-myers squibb company,bristol myers squibb comapny,1
wolf popper ross wolf and jones,wolf popper ross wolf & jones,1
king  spalding,"king & spalding,",1
service employees international union,service employees internationa,1
national association of chain drug stores,national association chainug sto,1
california bankers association,california bankers assoc,1
aleman and associates,a aleman & associates,1
califoria teachers association,california teachers assoc,1
institute of scrap recycling industries,institute scrap recycling industries inc,1
consumer healthcare products association,consumer healthcare products assocation,1
pride international inc,pride international llc,1
csx transportation inc,"csx transporation, inc",1
national association of chain drug stores,national assoc of chain drugstores inc,1
cadwalader wickersham  taft,cadwalader wickersham & taft llp,1
national automatic merchandising association,natl automatic merchandising assoc,1
texas instruments inc,texas instrument,1
brady center to prevent gun violence,brady camapign to prevent gun violence,1
northwest grocery association,nw grocery association,1
international union of operating engineers,international unit of operating engineers,1
lumbermens association of texas,lumbermans association of texas,1
bf goodrich company,b f goodrich company,1
telecommunications industry association,telecommunications industry assoc,1
boat people sos,boat people sos inc,1
california association of hospitals and health systems,california association of hospitals & health systems,1
eastern associated coal corp,eastern associated coal,1
national association of insurance brokers,national assoc of insurance broker,1
knights of columbus,knights of columbus 12055,1
aetna life insurance co,aetna insurance co,1
operating engineers union local no 3,operating engineers local no 3,1
pfizer inc,pfzer inc,1
texas association of builders,"texas association of builders,",1
abbott laboratories inc,abbott laboratories,1
augusta chronicle,the augusta chronicle,1
american civil liberties union foundation of san diego and imperial counties,american civil liberties union aclu san diego & imperial counties,1
american civil liberties union of san diego and imperial counties,american civil liberties union aclu san diego & imperial counties,1
pepsi bottling group inc,"the pepsi bottling group, inc",1
qualcomm inc,qual comm inc,1
united artists theater circuit inc,"united artists theatre circuit, inc",1
american occupational therapy association,american occupational therapy association aota,1
vietnam veterans of america,vietnam veterns of america,1
tunica-biloxi tribe of louisiana,tunica biloxi indian tribe of louisiana,1
liberty mutual group,liberty mutual group inc,1
columbia river fishermen's protective union,columbia river fishermens protective union,1
granite construction co,granite constuction,1
sacramento county deputy sheriffs association,sacramento county deputy sheriff s assoc,1
manufacturers hanover trust co,manufacturers hanover corp,1
prairie island indian community,prarie island indian community,1
coca-cola enterprises inc,"coca cola enterprises inc,",1
california rifle and pistol association,california rifle & pistol association,1
salt river valley water users association,salt river valley water users assn pic,1
agua caliente band of cahuilla indians,agua caliente band of cahilla indians,1
american federation of state county and municipal employees,"am federation of state, county & municipal employees",1
national stone sand and gravel association,national stone sand & gravel association,1
howard jarvis taxpayers association,howard jarvis taxpayer assoication,1
pfizer inc,pifizer inc,1
american federation of state county and municipal employees,"american federation of state county & municipal employees pac,",1
naral pro choice oregon,naral pro-choice oreogn,1
amalgamated transit union,amalga transit union,1
virginia manufacturers association,virginia manufactures assoc,1
duquesne light company,duquesne light co,1
black women organized for political action,black women organized for pol action,1
public affairs council,public affairs cons,1
campaign for tobacco-free kids,campaign for tobacco free kids,1
cosmetic toiletry and fragrance association,cosmetic toiletry & fragrance assn,1
national association of independent insurers,national association of independent insurance,1
roadway express inc,roadway express,1
appalachian power co,appalachian power comm,1
agua caliente band of cahuilla indians,agua claiente band of cahuilla indians,1
california cable television association,california cable telecommunications association,1
att services inc,at&t services inc,1
standard insurance company,standard insurance co,1
hoffmann-la roche inc,hoffman-la roche inc,1
national conference of firemen and oilers,national conference of fireman & oilers,1
national council of senior citizens,national council of senior cit inc,1
association of oregon counties,association of oregon faculties,1
american federation of state county and municipal employees,american federation of state county & municipal employees aflci,1
spirit of freedom republican womens club,spirit of freedom republican women,1
dell computer corp,dell computers corp,1
winstar communications inc,winstar communications llc,1
national restaurant association,national resturant association,1
american consulting engineers council,american consulting engineers coun,1
new york med college,new york medical college,1
william morris agency,william morris agency inc,1
national marine manufacturers association,national marine manufacturers assoc,1
national association of letter carriers,p a l national association of letter carriers,1
american college of emergency physicians,amer college of emerg physicians,1
board of trade of the city of chicago,board of trade of city of chicago,1
massachusetts gay and lesbian political caucus,massachusetts gay & lesbian political cmte,1
service employees international union,service employees intnl union,1
american federation of state county and municipal employees,"american federation of state county and municipal employees,",1
american federation of state county and municipal employees,american federation of state county & muni empl,1
california psychiatric association,ca psychiatric association,1
sheet metal workers international association,sheet metal workers international assoc pal,1
national association of mutual insurance companies,national assn of mutual insurance companies,1
amalgamated transit union,amalgamated transit union loca,1
san francisco aids foundation,the san francisco aids foundation,1
cadwalader wickersham  taft,cadwalader wickershan & taft llp,1
national association of chain drug stores,national association of chairug stores,1
reed elsevier inc,reed elsevire inc,1
texas instruments inc,texas instrument,1
brady center to prevent gun violence,brady camapign to prevent gun violence,1
national association of realtors,nevada association of realtors,1
american federation of state county and municipal employees,american federation of state county & municipal employees afl ci,1
georgia real estate investors association inc,ohio real estate investors association,1
maine education association,omaha education association,1
ohio education association,omaha education association,1
illinois beef association,illinois beef assocation pec,1
american land title association,wa land title association,1
illinois society for clinical social work,california society for clinical social work,1
texas association of builders,lv association of builders,1
georgia-pacific co,georgia pacific corp,1
manufactured housing communities of arizona ,manufactured housing communities of arizona,1
american federation of teachers,american federation teachers 2121,1
service employees international union,service employees international union workers,1
american society of anesthesiologists,va society of anesthesioogists,1
policemen's benevolent association local 167,policemens benevolent association local 197,1
horsemen benevolent and protective association,horsemens benevolent protective association,1
american association of nurse anesthetists,colorado association of nurse anesthetists,1
american federation of teachers,american federation of teachers - cope,1
save our wild salmon,save our salmon,1
american association of school administrators,texas association of school administrators,1
communications workers of america,communications workers of americacwa cope,1
motion picture association of america,jp morgan chase - pac,0
salt river project agricultural improvement and power district,"jp morgan & co, inc pac",0
cosmetic toiletry and fragrance association,"jp morgan chase & co, pac",0
sheet metal workers international association,jp morgan morgan guarantee trust,0
national restaurant association,jp morgan chase,0
american association of university professors,jp morgan services inc,0
california cable television association,jp morgan chase & company,0
american federation of state county and municipal employees,j p morgan chase & co. fund for good government texas,0
liberty mutual group,jp morgan fleming asset mangement usa inc,0
united teachers los angeles,jp morgan chase inc,0
bf goodrich company,"jp morgan chase, pac",0
national association of social workers,jp morgan chase & co state & federal pac,0
horsemen benevolent and protective association,banc one political action committee,0
american civil liberties union of san diego and imperial counties,"jpmorgan chase & co, pac",0
national organization for women foundation inc,jp morgan futures inc,0
american college of radiology,jp morgan partners llc,0
duquesne light company,chase,0
american public power association,jp morgan & chase pac,0
william morris agency,jp morgan chase & comp,0
salt river valley water users association,jp morgan chase & co state & fedl pac,0
national association of broadcasters inc,jp morgan chase & co political action committee,0
sacramento county deputy sheriffs association,jp morgan chase & copac,0
national association of realtors,"jp morgan partners, llc",0
howard jarvis taxpayers association,jp morgan chase & co - pac,0
bf goodrich company,"jp morgan chase & co, state & federal pac",0
southern christian leadership conference,jp morgan chase & co pac,0
securities industries association,jp morgan chace & co pac,0
trout unlimited inc,jp morgan chase & costate & federal pac,0
international union of operating engineers,jp morgan - chase co pac,0
american civil liberties union of colorado,jp morgan chase & company pac,0
people for the american way fo undation,jp morgan chase co state & federal pac,0
william morris agency,jpmorgan chase & co state amd federal,0
knights of columbus,jp morgan & co pac,0
national gay and lesbian task force,jp morgan morgan gaurantee trust,0
national association of social workers,jp morgan chase pac c00003830,0
national stone sand and gravel association,jp morgan partners,0
edison electric institute,"jp morgan chase & co, statefederal pac",0
association of american publishers,jp morgan business credit corp,0
investment company institute,jp morgan chase & co pac colo,0
american college of emergency physicians,jp morgan state & federal pac,0
mcgrawhill companies inc,jp morgan chase state & federal pac,0
campaign for tobacco-free kids,jp morgan chase & co federal pa,0
american civil liberties union of southern california,jpmorgan chase co state & federal pac,0
cadwalader wickersham  taft,jp morgan & co,0
national association of social workers,j p morgan chase & co statefederal pac,0
national gay and lesbian task force,jp morgana chase & co pac,0
recording industry association of america,jpmorgan chase bank,0
board of trade of the city of chicago,jpmorgan chase & copac,0
association of oregon counties,jp morgan cahse & co pac,0
young womens christian association,jp morgan chase statefed pac,0
national association of chain drug stores,"jp morgan, chase & co, pac",0
national organization for women foundation inc,jp morgan chase & co st & fed pac,0
motion picture association of america,jp morgan chase corp,0
common cause,jp morgan morgan gaurantee trust c,0
american federation of state county and municipal employees,jp morgan treasury technologies corp,0
american psychiatric association,jp morgan fleming asset management,0
california medical association,jpmorgan chase pac,0
public affairs council,jp morgan chase co pac,0
lutherans concerned north america,jp morgan investment management inc,0
agua caliente band of cahuilla indians,jp morgan chase & comp pac,0
american family association inc,jp morgan chase state & fed pac,0
united auto workers,jp morgan chase pac,0
international council of shopping centers,jpmorgan chase & co pac,0
texas association of builders,j p morgan chase & co pac,0
amalgamated transit union,"jp morgan chase& co, state & fed pac",0
national association of broadcasters inc,jp morgan chase & co- pac,0
american civil liberties union,jp morgan,0
anti-defamation league b'nai b'rith,jp morgan chase securities inc conference,0
national association of social workers,jp morgan property exchange inc,0
csx transportation inc,jp morgan chase national corporate services inc,0
american jewish congress,jp morgan chase co - pac,0
american occupational therapy association,jp morgan trust co of delaware,0
national organization for women foundation inc,jp morgan chase & co pal,0
young womens christian association,jp morgan chase bank,0
communications workers of america,jp morgan chase 7 co,0
vietnam veterans of america,"jp morgan securities, inc",0
jpmorgan chase bank na,investment company institute pac,0
jpmorgan chase bank na,investment management political action cmte of the investment company institute impac,0
jpmorgan chase bank na,investment company institute,0
national association for the advancement of colored people,investment company institute polit,0
jpmorgan chase bank na,motion picture association of america,0
national electrical manufacturers association,motion picture assn,0
jpmorgan chase bank na,motion picture association of amer,0
black women organized for political action,"motion picture association of america, inc",0
recording industry association of america,motion picture association pac,0
amalgamated transit union,motion picture association political action committee,0
prairie island indian community,motion picture association,0
american institute of certified public accountants,consumer federation of america:political action committee,0
american federation of state county and municipal employees,united electrical radio and machine workers of america u e local 1111 pac,0
american federation of state county and municipal employees,international council of shopping centers,0
american civil liberties union foundation of san diego and imperial counties,international council of shopping centers inc political action committee icsc pac,0
jpmorgan chase bank na,intl council of shopping centers p,0
national association of mutual insurance companies,nema,0
jpmorgan chase bank na,national electrical manufacturers association political action committee nema pac,0
jpmorgan chase bank na,american psychiatric association,0
national association of broadcasters inc,american psychiatric association political action committee,0
national association of social workers,national organization for the reform of marijuana laws political action committee,0
california psychiatric association,california medical association pac calpac,0
aleman and associates,california medical association,0
telecommunications industry association,national association of social workers new york city,0
petroleum marketers association of america inc,national association of social workers pac,0
jpmorgan chase bank na,"nasw, nyc pace",0
national association of insurance brokers,nasw nyc chapter pace,0
san francisco aids foundation,nyc pac,0
virginia manufacturers association,national association of social worker pac,0
american medical association,national association of social workers,0
naral pro choice oregon,new york city chapter of national association of social workers,0
motion picture association of america,nyc pace,0
jpmorgan chase bank na,calpac association of american publishers,0
illinois beef association,"association of american publishers, inc",0
roadway express inc,association of american publishers,0
jpmorgan chase bank na,national association of home builders,0
national education association,defenders of wildlife,0
american federation of government employees american federation of labor and congress of industrial organizations,american bankers assn,0
save our wild salmon,national association of counties,0
national council of jewish women,united brotherhood of carpenters,0
salt river valley water users association,national education association,0
american ethical union,national education association pac,0
granite construction co,national education association,0
international council of shopping centers,national education assn,0
reed elsevier inc,monsanto company,0
jpmorgan chase bank na,johnson & johnson corporate,0
knights of columbus,american medical assn,0
jpmorgan chase bank na,screen actors guild,0
cosmetic toiletry and fragrance association,american association of retired persons,0
jpmorgan chase bank na,common cause,0
recording industry association of america,salt river project pac,0
california association of hospitals and health systems,national association of broadcaste,0
association of american publishers,national association of broadcasters televison & radio political action committee,0
califoria teachers association,national association of broadcasters pac,0
granite construction co,national association of broadcasters,0
columbia river fishermen's protective union,national association of broadcasters television & radio political action committee,0
jpmorgan chase bank na,television & radio pac,0
national organization for women foundation inc,"recording industry assoc of america, inc",0
virginia manufacturers association,recording industry assoc of america,0
dell computer corp,recording industry assoc of americ,0
jpmorgan chase bank na,recording industry assoc of america inc,0
american medical womens association,american institute of certified public accountants,0
pfizer inc,general electric,0
spirit of freedom republican womens club,american public power association public ownership,0
augusta chronicle,american civil liberties union,0
jpmorgan chase bank na,american civil liberties union,0
johnson and johnson,american civil liberties union,0
motion picture association of america,american civil liberties union,0
national automatic merchandising association,american civil liberties union,0
united parcel service inc,american hotel & lodging associa,0
jpmorgan chase bank na,securities industries assoc,0
ohio education association,trout unlimited bellevue-issaquah chapte,0
cadwalader wickersham  taft,national council jewish women austin section,0
jpmorgan chase bank na,national assoc of mfgs suite 1500,0
national association of social workers,national association of theatre owners of canevada,0
lumbermens association of texas,naacp co op city branch,0
standard insurance company,friends of the earth action pac,0
jpmorgan chase bank na,ei du pont de nemours & co,0
national gay and lesbian task force,edison electric institute-eei,0
national association of social workers,council of state govt,0
national association of insurance brokers,council of state government,0
monsanto co,assoc gen contractors of america,0
massachusetts gay and lesbian political caucus,american telephone & telegraph,0
national association of counties,americans united for separation of church & state,0
