"","x"
"229","lucien lelong inc"
"230","national association of bedding manufacturers"
"231","max factor and co"
"232","northam warren inc"
"233","ponds inc"
"234","revlon products corporation"
"235","richard hudnut inc"
"236","the rl watkins co division"
"237","the national association of magazine publishers inc"
"238","fe compton and company"
"239","encyclopedia britannica inc"
"240","the grolier society inc"
"241","united educators inc"
"242","the book house for children"
"243","pf collier and son corp"
"244","national association of direct selling companies"
"245","di giorgio fruit corporation"
"246","the united brotherhood of carpenters and joiners of america"
"247","district council of kansas city missouri and vicinity af of l"
"248","port of new york authority"
"249","junior order of united american mechanics of the state of new jersey"
"250","united farmers of new england inc"
"251","bellows falls cooperative creamery inc"
"252","connecticut valley dairy inc"
"253","grand isle county cooperative creamery inc"
"254","granite city cooperative creamery inc"
"255","milton cooperative dairy corporation"
"256","st albans cooperative creamery inc"
"257","mt mansfield cooperative creamery and grain association inc"
"258","bethel cooperative creamery inc"
"259","richmond cooperative creamery inc"
"260","shelburne cooperative creamery company"
"261","cabot farmers cooperative creamery inc"
"262","new england milk producers association"
"263","american book publishers council inc"
"264","new york state catholic welfare committee"
"265","enginemen and order of railmen and enginemen"
"266","the national association of railroad and utilities commissioners"
"267","board of railroad commissioners"
"268","greyvan lines inc"
"269","movers conference of america"
"270","shell oil co"
"271","the american thread company"
"272","nina dye works co inc"
"273","jack smith beverages inc"
"274","edwards brothers inc"
"275","rullin brothers footwear inc"
"276","ibs manufacturing company"
"277","magee carpet company"
"278","national sand and gravel association"
"279","newspaper and mail deliverers union of new york and vicinity"
"280","local no 24 american federation of musicians"
"281","the bar association of the district of columbia inc"
"282","skibsfartens abbeidsgiverforening"
"283","the sailors union of the pacific"
"284","seafarers international union of north america"
"285","seamens union of panama"
"286","danish sailors and firemens union new york branch"
"287","birmingham news"
"288","montgomery advertiser"
"289","montgomery journal"
"290","mobile register"
"291","mobile press"
"292","phoenix republic"
"293","phoenix gazette"
"294","tuscon arizona daily star"
"295","tuscon daily citizen"
"296","eldorado news"
"297","eldorado times"
"298","hot springs sentinel-record"
"299","hot springs new era"
"300","texarkana gazette"
"301","texarkana news"
"302","bridgeport telegram"
"303","bridgeport post"
"304","meriden-wallingford record"
"305","meriden-wallingford journal"
"306","the new london day"
"307","waterbury republican"
"308","waterbury american"
"309","daytona beach journal"
"310","daytona beach news"
"311","orlando morning sentinel"
"312","orlando evening star"
"313","palm beach post"
"314","palm beach times"
"315","pensacola journal"
"316","pensacola news"
"317","atlanta constitution"
"318","atlanta journal"
"319","augusta chronicle"
"320","augusta herald"
"321","columbus enquirer"
"322","columbus ledger"
"323","macon telegraph"
"324","macon news"
"325","savannah news"
"326","savannah press"
"327","idaho falls post-register"
"328","boise idaho daily statesman"
"329","boise idaho evening statesman"
"330","decatur herald"
"331","decatur review"
"332","huntington herald-press"
"333","indianapolis star inc"
"334","indianapolis news inc"
"335","muncie star"
"336","muncie press"
"337","the south bend tribute"
"338","terr"
"339","post publishing company of boston"
"340","national candy wholesalers association inc"
"341","washington board of trade"
"342","ofallon park protective association"
"343","council for community preservation"
"344","chouteau-lindell improvement association"
"345","west walnut manor association"
"346","northwest business mens association"
"347","northwest improvement association"
"348","north st louis business mens association"
"349","raymond place good neighborhood association"
"350","kingshighway-union improvement association"
"351","north pointe improvement association"
"352","walnut park protective association"
"353","st louis property owners association of america inc"
"354","marcus avenue improvement association"
"355","northwest st louis improvement and protective association"
"356","mark twain improvement association"
"357","hamilton place association"
"358","los angeles international ladies garment workers union"
"359","greater los angeles cio council"
"360","los angeles urban league"
"361","southern division california cooperative league"
"362","the christines"
"363","los angeles district council jewish war veterans usa"
"364","eagle rock council for civic unity"
"365","los angeles central labor council"
"366","american civil liberties union southern california branch"
"367","american league baseball company"
"368","mental health america"
"369","national council on freedom from censorship a committee of the aclu"
"370","independent theatre owners of ohio inc"
"371","motion picture association of america"
"372","northwest airlines inc"
"373","braniff airways"
"374","trans-world airlines inc"
"375","register of copyrights"
"376","air line pilots association"
"377","friends committee on national legislation"
"378","american council on human rights"
"379","unitarian fellowship for social justice"
"380","americans for democratic action"
"381","catholic interracial council of washington"
"382","commission on community life of the washington federation of churches"
"383","district of columbia industrial union council cio"
"384","jewish community council of greater washington"
"385","washington ethical society"
"386","washington bar association"
"387","washington interracial workshop"
"388","washington urban league"
"389","washington fellowship"
"390","state corporation commission of kansas"
"391","louisana"
"392","regular common carrier conference of the american trucking association inc"
"393","american automobile association"
"394","genesee foundry company inc"
"395","new york state athletic commission"
"396","american institute of marine underwriters"
"397","american merchant marine institute inc"
"398","american optometric association"
"399","section on ophthalmology medical society of the district of columbia"
"400","north carolina eye ear nose and throat society"
"401","guild of prescription opticians of america inc"
"402","american committee on optics and visual physiology"
"403","oklahoma city academy of eye ear nose and throat"
"404","los angeles society of ophthalmology and otolaryngology"
"405","new jersey ophthalmological society"
"406","california medical association"
"407","pacific coast ophthalmological society"
"408","pennsylvania state ophthalmological and otolaryngological society"
"409","philadelphia county medical society conservation of vision committee"
"410","reading ophthalmological society"
"411","san bernadino county medical society"
"412","south carolina association of ophthalmology"
"413","new york city"
"414","american barge line inc"
"415","youngstown ohio public school district"
"416","coyle lines inc"
"417","john l hay company"
"418","mississippi valley barge line company"
"419","american farm bureau federation"
"420","the american ethical union"
"421","engineers and scientists of america"
"422","forgers and helpers"
"423","sheet metal workers international association"
"424","united transportation union"
"425","brotherhood of maintenance of way employees"
"426","american train dispatchers association"
"427","international brotherhood of electrical workers"
"428","railway employees department"
"429","brotherhood railway carmen of america"
"430","international brotherhood of firemen and oilers"
"431","hotel and restaurant employees and bartenders international union"
"432","railroad yardmasters of america"
"433","brotherhood of sleeping car porters"
"434","wilshire oil company of texas"
"435","oregon division of the izaak walton league"
"436","international city county management association"
"437","united states conference of mayors"
"438","national association of counties"
"439","national governors association"
"440","national cable television association inc"
"441","tyler gas service company"
"442","rayonier"
"443","national immigration project of the national lawyers guild"
"444","national association for criminal defense lawyers inc"
"445","americans for effective law enforcement"
"446","national sheriffs association"
"447","international association of chiefs of police"
"448","religious society of friends"
"449","new york civil liberties union"
"450","chamber of commerce of the united states of america"
"451","southern states industrial council"
"452","cio california industrial union council"
"453","broadcast music inc"
"454","national music publishers association"
"455","songwriters protective association"
"456","new york state labor relations board"
"457","ohio state council of retail merchants"
"458","ohio chamber of commerce"
"459","american retail federation"
"460","american short line railroad association"
"461","federated employers of nevada"
"462","san francisco retailers council"
"463","greater new york and northern new jersey milk dealers labor committee"
"464","linen and credit exchange"
"465","omaha council bluffs bakery employers labor council"
"466","bay area council of bakery operations"
"467","boston bakery employers labor council"
"468","chicago bakery employers labor council"
"469","seattle bakers bureau"
"470","bakers of washington"
"471","new york city bakery employers labor council"
"472","california processors and growers"
"473","central california chater associated general contractors of america"
"474","distributors association of northern california"
"475","employers council of santa clara valley"
"476","retail furniture council of san francisco"
"477","sacramento valley associated industries"
"478","united employers"
"479","california metal trade association"
"480","federated employers of san francisco"
"481","pacific maritime association"
"482","san francisco employers council"
"483","san joaquin county industrial association"
"484","tamerican trucking associations"
"485","union employers section print industry of america"
"486","international brotherhood of teamsters"
"487","california state employees association"
"488","gottlieb and co"
"489","greanleaf publishing"
"490","hmh publishing"
"491","national oil jobbers association"
"492","national association of county officials"
"493","hughes transportation"
"494","servicemens defense committee"
"495","american stock yards association"
"496","national livestock producers association"
"497","oklahoma livestock marketing"
"498","national livestock commission"
"499","national feeder service"
"500","aktieselskabet dampskibsselskabet"
"501","australind steamshipping"
"502","blue star line"
"503","compania colombia de navigacion maritima"
"504","court line"
"505","dampskibsselskabet af 1912 aktieselksab"
"506","marina mercante nicaraguense"
"507","new zealand shipping"
"508","port line"
"509","rederiet ocean aktieselskab"
"510","westfallarsen"
"511","intercoastal steamship freight association"
"512","pacific american steamship association"
"513","steamship conferences"
"514","isbrandtsen"
"515","life insurance association of america"
"516","federation of american scientists"
"517","california farm bureau federation"
"518","american mutual insurance alliance"
"519","american life convention"
"520","health insurance association"
"521","american hotel and lodging association"
"522","long island lighting company"
"523","kansasnebraska natural gas"
"524","natural gas pipeline company of america"
"525","el paso national gas"
"526","citgo petroleum corp"
"527","pacific northwest pipeline"
"528","panhandle eastern pipe line"
"529","colorado interstate gas co"
"530","texas illinois natural gas pipeline"
"531","transcontinental gas pipeline"
"532","tennessee gas transmission"
"533","national society of professional engineers"
"534","engineers joint council"
"535","government of the united kingdom of great britain and northern ireland"
"536","government of denmark"
"537","swedish shipowners association"
"538","bay cities transportation co"
"539","town of quitman mississippi"
"540","united fresh fruit and vegetable association"
"541","national conference of commissioners on uniform state laws"
"542","national association of credit management inc"
"543","philadelphia joint board"
"544","amalgamated insurance fund"
"545","mutual life insurance company of new york"
"546","state mutual assurance company of america"
"547","paragon jewel coal co inc"
"548","national association of stevedores"
"549","american association of university professors"
"550","national association of tobacco distributorsinc"
"551","national automobile dealers association"
"552","national association of broadcasters inc"
"553","public utilities commission of california"
"554","public service commission of wisconsin"
"555","pennsylvania public utility commission"
"556","public service electric and gas company"
"557","member municipalities of the national institute of municipal law officers"
"558","alabama league of municipalities"
"559","association of frozen food packers"
"560","amalgamated transit union"
"561","kansas city power and light co"
"562","laclede gas co"
"563","chamber of commerce of metropolitan st louis"
"564","missouri state chamber of commerce"
"565","chamber of commerce of kansas city"
"566","chamber of commerce of missouri"
"567","chamber of commerce of st joseph missouri"
"568","chamber of commerce of springfield missouri"
"569","chamber of commerce of joplin missouri"
"570","prudential insurance company of america"
"571","national association of social workers"
"572","health insurance association of america"
"573","bureau of information of southeastern railways"
"574","bureau of information of eastern railways"
"575","the association of western railways"
"576","waterfront commission of new york harbor"
"577","association of western railways"
"578","national coal association"
"579","district attorney association of n y"
"580","worchester telegram publishing co inc"
"581","american civil liberties union of southern california"
"582","bronx county bar association"
"583","new york county lawyers association"
"584","american bar association standing committee on professional grievances"
"585","new york state association of plaintiffs trial lawyers"
"586","dupont shareholders"
"587","general motors co"
"588","civil liberties union of massachusetts"
"589","national retail merchants association"
"590","retail clerks international association afl-cio"
"591","international chemical workers union aflcio"
"592","judges of the court of claims"
"593","mortgage bankers association"
"594","national association of homebuilders"
"595","national association of mutual savings banks"
"596","american ethical union"
"597","connecticut association for retarded children"
"598","ohio civil liberties union"
"599","kentucky bar association"
"600","virginia state bar"
"601","american judicature society"
"602","california state bar"
"603","missouri state bar"
"604","state bar of florida"
"605","cuyahoga county bar association"
"606","florida civil liberties union"
"607","american society of corporate secretaries"
"608","wisconsin employment relations board"
"609","allegheny airlines inc"
"610","airport operators council"
"611","mobile alabama"
"612","national crushed stone association"
"613","mutual federation of independent cooperatives inc"
"614","connecticut milk producers association"
"615","independent dairy farmers association inc of ft lauderdale"
"616","mississippi milk producers association"
"617","texas milk producers association"
"618","twin ports coop dairy association superior wisconsin"
"619","united dairymens association of seattle"
"620","metropolitan milk producers bargaining agency"
"621","united milk producers cooperative association trenton new jersey"
"622","ohio milk producers federation"
"623","texas milk producers federation"
"624","dairymens league cooperative association inc"
"625","eastern milk producers cooperative"
"626","milk industry of new jersey"
"627","new york afl-cio"
"628","university of new york"
"629","church fire insurance"
"630","association of casualty and surety companies"
"631","cooke and willis"
"632","newberg and sakofsky"
"633","goldstein and goldstein"
"634","protected milk producers association of paramount california"
"635","central milk sales agency of artesia california"
"636","harmony valley creamery association of san luis obispo california"
"637","san diego milk association of san diego california"
"638","san diego county milk producers council"
"639","petaluma cooperative creamery"
"640","consolidated milk producers of san francisco"
"641","san francisco milk council"
"642","santa clara county milk dealers association"
"643","general dairy industry committee of southern california"
"644","milk industry foundation"
"645","new york state district attorneys association"
"646","texaco inc"
"647","national oil jobbers council inc"
"648","liberia"
"649","panama nation of"
"650","mid-continent oil and gas association"
"651","american institute of certified public accountants"
"652","southeastern association of railroad and utilities commissioners"
"653","georgia public service commission"
"654","walley milling company"
"655","statesville flour mill"
"656","catholic council on civil liberties"
"657","national better business bureau"
"658","rossen-richards processing co"
"659","american can co"
"660","thomas jordan inc"
"661","chicago bridge and iron co"
"662","humble oil and refining co"
"663","sperry corp"
"664","ellerman and bucknell steamship co"
"665","three affiliated tribes of fort berthold reservation north dakota"
"666","american intellectual property law association"
"667","american chemical society"
"668","american association of advertising agencies"
"669","association of interstate commerce commission practitioners"
"670","rocky mountain oil and gas association"
"671","confederated salish and kootenai tribes of flathead reservation mo"
"672","children's foundation"
"673","chattanooga board of education"
"674","memphis city schools"
"675","bar association of district of columbia"
"676","chamber of commerce  st louis mo"
"677","new york chicago and st louis railroad co"
"678","legal aid society"
"679","irving trust company"
"680","bankers trust co"
"681","chemical bank new york trust co"
"682","manufacturers hanover trust co"
"683","morgan guaranty trust company of new york"
"684","jpmorgan chase bank na"
"685","veterans of foreign wars national rehabilitation service"
"686","afl-cio railway employees department"
"687","lake carriers association"
"688","pan-american life insurance co"
"689","compania azucarera vertientes-camaguey de cuba"
"690","international law association"
"691","north american sugar industries inc"
"692","cuban american sugar mills company"
"693","amalgamated association of street electric railway and motor coach employees of america afl-cio"
"694","flours inc"
"695","national association of broadcast employees and technicians local 55"
"696","american federation of television and radio artists american federation of labor and congress of industrial organizations"
"697","tree fruits labor relations committee inc"
"698","northwest horticultural council"
"699","texas citrus and vegetable growers and shippers"
"700","california grape and tree fruit league"
"701","international apple association inc"
"702","western growers association"
"703","growers and shippers league of florida"
"704","society of american florists and ornamental horticulturalists"
"705","eastern freezers association"
"706","florida fruit and vegetable association"
"707","national fisheries institute"
"708","citizens for educational freedom"
"709","national education association"
"710","wolverine shoe and tanning corporation"
"711","corning glass works"
"712","international silver company"
"713","om scott and sons company"
"714","rubbermaid incorporated"
"715","ohio hardware association"
"716","cleveland academy of pharmacy"
"717","ohio retail food dealers"
"718","ohio association of tobacco distributors"
"719","ohio state pharmaceutical association"
"720","ohio small business committee"
"721","montgomery county maryland"
"722","national district attorneys association"
"723","citizens for decent literature"
"724","wells survey inc"
"725","county of cuyahago ohio"
"726","electric industries association"
"727","bank of american national trust and savings assn"
"728","first national bank of boston"
"729","airlines for america"
"730","aeronautics commission of indiana"
"731","indianapolis airport authority"
"732","evansville - vandenburgh airport authority district"
"733","board of aviation commissioners"
"734","state mutual life insurance company of massachusetts"
"735","putnam management co inc"
"736","george putnam fund of boston"
"737","marathon oil company"
"738","union oil company"
"739","richfield oil corporation"
"740","standard oil company"
"741","california league of senior citizens"
"742","national federation of the blind"
"743","american orthopsychiatric association"
"744","national association for retarded children"
"745","food employers council"
"746","california asssociation of employers"
"747","distribution association"
"748","employers council of monterey county inc"
"749","federated employers of the bay area"
"750","peninsula employers council"
"751","sacramento valley employers council"
"752","valley employers association"
"753","local no 374 international brotherhood of broilmakers"
"754","louisiana branch aclu"
"755","west los angeles institute for cancer research"
"756","louisiana department of wildlife and fisheries"
"757","the fd johnson co"
"758","eaton manufacturing co"
"759","san carlos apache tribe of arizona"
"760","salt river pima-maricopa indian community"
"761","hualapai tribe of arizona"
"762","american indian bar association"
"763","national association of state auditors comptrollers and treasurers"
"764","national association of county civil attorneys"
"765","national association of attorneys general"
"766","municipal finance officers association"
"767","conference on state defense"
"768","national league of cities"
"769","council of state governments"
"770","national bulk carriers inc"
"771","highland supply corporation"
"772","reynolds metals company"
"773","southern california gas company"
"774","southern counties gas company of california"
"775","pacific legal foundation"
"776","emergency civil liberties committee"
"777","planned parenthood federation of america inc"
"778","state bar of texas"
"779","radio television news directors association"
"780","texas civil liberties union"
"781","national association of food chains"
"782","bituminous coal operators association"
"783","national independent meat packers association"
"784","river markets group"
"785","certified livestock markets association"
"786","national livestock feeders association"
"787","institute of american poultry industries"
"788","schnell tool and die corporation"
"789","salem stamping and manufacturing company"
"790","american automotive leasing association"
"791","s and a company"
"792","american parents committee inc"
"793","american civil liberties union of pennsylvania"
"794","association of the customs bar new york ny"
"795","wine and spirits wholesalers of america"
"796","broyhill furniture factories"
"797","champion spark plug company"
"798","jockey menswear a division of cooper inc"
"799","palm beach company"
"800","rustoleum corporation"
"801","union underwear company inc"
"802","maritime trades department of the afl-cio"
"803","alabama civil liberties union"
"804","alabama press association"
"805","shimato construction company ltd"
"806","pennsylvania"
"807","brewers association of america"
"808","amalgamated meat cutters"
"809","national farmers union of canada"
"810","united automobile workers"
"811","international typographical union"
"812","california bankers association"
"813","american civil liberties union of georgia"
"814","washington parks and recreation commission"
"815","american trial lawyers association"
"816","new york state trial lawyers association"
"817","new york city chapter of the national lawyers guild"
"818","american civil liberties union of illinois"
"819","radio station wait  chicago"
"820","swift co"
"821","american civil liberties union of north carolina"
"822","chicago terminal railroads"
"823","anderson and geary"
"824","american heritage publishing co"
"825","council for periodical distributors association inc"
"826","legal aid society and citizens committee for children of new york inc"
"827","ohio association of juvenile court judges"
"828","national legal aid and defender association"
"829","county of nassau"
"830","homosexual law reform society of america"
"831","investment company institute"
"832","california democratic state central committee"
"833","national committee against discrimination in housing"
"834","homeowners in opposition to housing authoritarianism"
"835","malden redevelopment authority"
"836","national railway labor conference"
"837","national association of defense lawyers in criminal cases"
"838","new york times display advertising salesmen steering committee"
"839","serta inc"
"840","alexandria bedding company"
"841","chattanooga mattress company"
"842","enterprise mattress co inc"
"843","honor bilt products inc"
"844","national bedding and furniture industries inc"
"845","puerto rico bedding co"
"846","san hygene furniture manufacturing co"
"847","simon mattress manufacturing co"
"848","superior bedding co"
"849","adam wuest inc"
"850","augusta bedding company"
"851","cf lottman and sons"
"852","capital bedding company"
"853","coyne mattress co ltd"
"854","dixie bedding co"
"855","dormae products inc"
"856","enterprise-moakler co inc"
"857","hand-craft bedding corp"
"858","herr mfg co inc"
"859","kentucky sanitary bedding co"
"860","lg doup co"
"861","mohawk bedding corp"
"862","palm beach bedding co"
"863","palmer bedding co"
"864","palu bedding co"
"865","quality mattress inc"
"866","royal bedding co"
"867","salt lake mattress mfg co"
"868","schultz and hirsch co"
"869","serta of washington inc"
"870","serta-restokraft mfg co"
"871","sleepmaster products co inc"
"872","sound mattress and felt co"
"873","star bedding of pittsburgh"
"874","supreme bedding co"
"875","the jc hirschman company"
"876","restonic corporation"
"877","american arbitration association"
"878","legal aid-new york city"
"879","americans for constitutional action baltimore chapter"
"880","american waterways operators"
"881","state bar of california"
"882","national office for the rights of the indigent"
"883","american civil liberties union of washington"
"884","manufacturing chemists association"
"885","bureau of salesmens national associations"
"886","slaff mosk and rudman"
"887","municipal electric association of massachusetts"
"888","atlantic coast industrial distributors association inc"
"889","clairol inc"
"890","civil aeronautics board"
"891","canada"
"892","international air transport association"
"893","republic of italy"
"894","bates and block inc"
"895","airline passengers association"
"896","brotherhood of railway car men of usand canada"
"897","american dredging co"
"898","labor relations committee of the council of state chambers of commerce"
"899","philadelphia marine trade association"
"900","new jersey zinc company inc"
"901","metropolitan school district of wayne in"
"902","national footwear manufacturers association"
"903","new england footwear association"
"904","international council of shopping centers"
"905","florida council of juvenile court judges"
"906","legal aid society of cleveland"
"907","national council of juvenile court judges"
"908","national congress of american indians"
"909","association of american indian affairs inc"
"910","american civil liberties union -- illinois div"
"911","united methodist church"
"912","american friends service committee"
"913","union for reform judaism"
"914","central conference of american rabbis"
"915","council for christian social action of the united church of christ"
"916","commission on social action of reform judaism"
"917","protestants and other americans united for separation of church and state"
"918","united americans for public schools"
"919","rabbinical assembly"
"920","rabbinical council of america"
"921","milwaukee jewish council"
"922","jewish community relations council pittsburgh"
"923","jewish federation of waterbury"
"924","albany jewish community council"
"925","baltimore jewish council"
"926","united synagogue of conservative judaism"
"927","community relations council of camden county nj"
"928","jewish community federation canton ohio"
"929","cincinnati jewish community relations committee"
"930","connecticut jewish community relations council"
"931","jewish community council of dayton"
"932","jewish community council of metropolitan detroit"
"933","jewish community council of easton and vicinity"
"934","jewish community welfare council erie pa"
"935","jewish community council of essex county new jersey"
"936","jewish community council of flint mich"
"937","community relations committee of the hartford conn jewish federation"
"938","indiana jewish community relations council"
"939","indianapolis jewish community relations council"
"940","community relations committee of the jewish-federation council of greater los angeles"
"941","jewish"
"942","americans for public schools"
"943","american association of school administrators"
"944","alice cable television corporation"
"945","national association of state boards of education"
"946","national jewish commission on law and public affairs"
"947","american lutheran church"
"948","lutheran education association"
"949","national union of christian schools"
"950","national conference of yeshiva principals"
"951","national catholic educational association"
"952","national council of jewish women"
"953","long island conference of religious elementary and secondary school administrators"
"954","national association of independent schools"
"955","patrolman's benevolent society of new york city"
"956","child welfare league of america"
"957","center on social welfare policy and law"
"958","national association of supervisors of state banks"
"959","colorado bankers association"
"960","oklahoma press association"
"961","screen actors guild"
"962","directors guild of america"
"963","writers guild of america east inc"
"964","all-channel television society"
"965","screen composers association"
"966","minnesota federation of teachers"
"967","union of orthodox jewish congregations of america"
"968","missouri commission on human rights"
"969","kansas city kansas"
"970","path associates"
"971","maryland petition committee inc"
"972","metropolitan church federation of greater st louis"
"973","national catholic conference for interracial justice"
"974","philadelphia diagnostics and relocation service"
"975","national council on alcoholism and drug dependence"
"976","correctional association of new york"
"977","north american association of alcoholism programs"
"978","north conway institute"
"979","texas commission on alcoholism"
"980","washington dc area council on alcoholism"
"981","north american judges association"
"982","american medical association"
"983","methodist board of christian social concerns"
"984","national science teachers association"
"985","shaw-walker co"
