,0,1,Match,prediction
143,the san francisco aids foundation,agua caliente band of cahuilla indians,0,0
144,the san francisco aids foundation,planned parenthood federation of america inc,0,0
145,the san francisco aids foundation,sheet metal workers international assoc pal,0,0
146,the san francisco aids foundation,coalition of 100 black women,0,0
147,the san francisco aids foundation,pifizer inc,0,0
148,the san francisco aids foundation,national education association,0,0
149,the san francisco aids foundation,national association for the advancement of colored people legal defense and educational fund inc,0,0
150,the san francisco aids foundation,sheet metal workers international association,0,0
151,the san francisco aids foundation,california teachers assoc,0,0
152,the san francisco aids foundation,national association of independent insurance,0,0
153,the san francisco aids foundation,trout unlimited bellevue-issaquah chapte,0,0
154,the san francisco aids foundation,the augusta chronicle,0,0
155,the san francisco aids foundation,national association of independent insurers,0,0
156,the san francisco aids foundation,california bankers assoc,0,0
157,the san francisco aids foundation,american consulting engineers council,0,0
158,the san francisco aids foundation,cadwalader wickersham  taft,0,0
159,the san francisco aids foundation,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
160,the san francisco aids foundation,american civil liberties union,0,0
161,the san francisco aids foundation,vietnam veterns of america,0,0
162,the san francisco aids foundation,georgia real estate investors association inc,0,0
163,the san francisco aids foundation,campaign for tobacco free kids,0,0
164,the san francisco aids foundation,att services inc,0,0
165,the san francisco aids foundation,"the pepsi bottling group, inc",0,0
166,the san francisco aids foundation,national association for the advancement of colored people,0,0
167,the san francisco aids foundation,american consulting engineers coun,0,0
168,the san francisco aids foundation,naral pro choice oregon,0,0
169,the san francisco aids foundation,augusta chronicle,0,0
170,the san francisco aids foundation,winstar communications inc,0,0
171,the san francisco aids foundation,national association of chairug stores,0,0
172,the san francisco aids foundation,at&t services inc,0,0
173,the san francisco aids foundation,national coalition of 100 black women,0,0
174,the san francisco aids foundation,campaign for tobacco-free kids,0,0
175,the san francisco aids foundation,dell computers corp,0,0
176,the san francisco aids foundation,dell computer corp,0,0
177,the san francisco aids foundation,pfizer inc,0,0
178,the san francisco aids foundation,natl automatic merchandising assoc,0,0
179,the san francisco aids foundation,lutherans concerned,0,0
180,the san francisco aids foundation,cadwalader wickersham & taft llp,0,0
181,the san francisco aids foundation,naral pro-choice oreogn,0,0
182,the san francisco aids foundation,william morris agency inc,0,0
183,americans united for separation of church & state,vietnam veterans of america,0,0
184,americans united for separation of church & state,american family association inc,0,0
185,americans united for separation of church & state,the san francisco aids foundation,0,0
186,americans united for separation of church & state,americans united for separation of church & state,1,1
187,americans united for separation of church & state,"planned parenthood,",0,0
188,americans united for separation of church & state,american federation of state county and municipal employees,0,0
189,americans united for separation of church & state,winstar communications llc,0,0
190,americans united for separation of church & state,JPMORGAN CHASE BANK NA,0,0
191,americans united for separation of church & state,planned parenthood federation of america,0,0
192,americans united for separation of church & state,common cause,0,0
193,americans united for separation of church & state,lutherans concerned north america,0,0
194,americans united for separation of church & state,aphilip randolph institute,0,0
195,americans united for separation of church & state,council of state government,0,0
196,americans united for separation of church & state,california bankers association,0,0
197,americans united for separation of church & state,public affairs council,0,0
198,americans united for separation of church & state,NATIONAL EDUCATION ASSOCIATION,0,0
199,americans united for separation of church & state,san francisco aids foundation,0,0
200,americans united for separation of church & state,"american ethicare, inc",0,0
201,americans united for separation of church & state,pepsi bottling group inc,0,0
202,americans united for separation of church & state,califoria teachers association,0,0
203,americans united for separation of church & state,agua claiente band of cahuilla indians,0,0
204,americans united for separation of church & state,agua caliente band of cahuilla indians,0,0
205,americans united for separation of church & state,planned parenthood federation of america inc,0,0
206,americans united for separation of church & state,sheet metal workers international assoc pal,0,0
207,americans united for separation of church & state,coalition of 100 black women,0,0
208,americans united for separation of church & state,pifizer inc,0,0
209,americans united for separation of church & state,national education association,0,0
210,americans united for separation of church & state,national association for the advancement of colored people legal defense and educational fund inc,0,0
211,americans united for separation of church & state,sheet metal workers international association,0,0
212,americans united for separation of church & state,california teachers assoc,0,0
213,americans united for separation of church & state,national association of independent insurance,0,0
214,americans united for separation of church & state,trout unlimited bellevue-issaquah chapte,0,0
215,americans united for separation of church & state,the augusta chronicle,0,0
216,americans united for separation of church & state,national association of independent insurers,0,0
217,americans united for separation of church & state,california bankers assoc,0,0
218,americans united for separation of church & state,american consulting engineers council,0,0
219,americans united for separation of church & state,cadwalader wickersham  taft,0,0
220,americans united for separation of church & state,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
221,americans united for separation of church & state,american civil liberties union,0,0
222,americans united for separation of church & state,vietnam veterns of america,0,0
223,americans united for separation of church & state,georgia real estate investors association inc,0,0
224,americans united for separation of church & state,campaign for tobacco free kids,0,0
225,americans united for separation of church & state,att services inc,0,0
226,americans united for separation of church & state,"the pepsi bottling group, inc",0,0
227,americans united for separation of church & state,national association for the advancement of colored people,0,0
228,americans united for separation of church & state,american consulting engineers coun,0,0
229,americans united for separation of church & state,naral pro choice oregon,0,0
230,americans united for separation of church & state,augusta chronicle,0,0
231,americans united for separation of church & state,winstar communications inc,0,0
232,americans united for separation of church & state,national association of chairug stores,0,0
233,americans united for separation of church & state,at&t services inc,0,0
234,americans united for separation of church & state,national coalition of 100 black women,0,0
235,americans united for separation of church & state,campaign for tobacco-free kids,0,0
236,americans united for separation of church & state,dell computers corp,0,0
237,americans united for separation of church & state,dell computer corp,0,0
238,americans united for separation of church & state,pfizer inc,0,0
239,americans united for separation of church & state,natl automatic merchandising assoc,0,0
240,americans united for separation of church & state,lutherans concerned,0,0
241,americans united for separation of church & state,cadwalader wickersham & taft llp,0,0
242,americans united for separation of church & state,naral pro-choice oreogn,0,0
243,americans united for separation of church & state,william morris agency inc,0,0
244,"planned parenthood,",vietnam veterans of america,0,0
245,"planned parenthood,",american family association inc,0,0
246,"planned parenthood,",the san francisco aids foundation,0,0
247,"planned parenthood,",americans united for separation of church & state,0,0
248,"planned parenthood,","planned parenthood,",1,1
249,"planned parenthood,",american federation of state county and municipal employees,0,0
250,"planned parenthood,",winstar communications llc,0,0
251,"planned parenthood,",JPMORGAN CHASE BANK NA,0,0
252,"planned parenthood,",planned parenthood federation of america,1,1
253,"planned parenthood,",common cause,0,0
254,"planned parenthood,",lutherans concerned north america,0,0
255,"planned parenthood,",aphilip randolph institute,0,0
256,"planned parenthood,",council of state government,0,0
257,"planned parenthood,",california bankers association,0,0
258,"planned parenthood,",public affairs council,0,0
259,"planned parenthood,",NATIONAL EDUCATION ASSOCIATION,0,0
260,"planned parenthood,",san francisco aids foundation,0,0
261,"planned parenthood,","american ethicare, inc",0,0
262,"planned parenthood,",pepsi bottling group inc,0,0
263,"planned parenthood,",califoria teachers association,0,0
264,"planned parenthood,",agua claiente band of cahuilla indians,0,0
265,"planned parenthood,",agua caliente band of cahuilla indians,0,0
266,"planned parenthood,",planned parenthood federation of america inc,1,1
267,"planned parenthood,",sheet metal workers international assoc pal,0,0
268,"planned parenthood,",coalition of 100 black women,0,0
269,"planned parenthood,",pifizer inc,0,0
270,"planned parenthood,",national education association,0,0
271,"planned parenthood,",national association for the advancement of colored people legal defense and educational fund inc,0,0
272,"planned parenthood,",sheet metal workers international association,0,0
273,"planned parenthood,",california teachers assoc,0,0
274,"planned parenthood,",national association of independent insurance,0,0
275,"planned parenthood,",trout unlimited bellevue-issaquah chapte,0,0
276,"planned parenthood,",the augusta chronicle,0,0
277,"planned parenthood,",national association of independent insurers,0,0
278,"planned parenthood,",california bankers assoc,0,0
279,"planned parenthood,",american consulting engineers council,0,0
280,"planned parenthood,",cadwalader wickersham  taft,0,0
281,"planned parenthood,",NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
282,"planned parenthood,",american civil liberties union,0,0
283,"planned parenthood,",vietnam veterns of america,0,0
284,"planned parenthood,",georgia real estate investors association inc,0,0
285,"planned parenthood,",campaign for tobacco free kids,0,0
286,"planned parenthood,",att services inc,0,0
287,"planned parenthood,","the pepsi bottling group, inc",0,0
288,"planned parenthood,",national association for the advancement of colored people,0,0
289,"planned parenthood,",american consulting engineers coun,0,0
290,"planned parenthood,",naral pro choice oregon,0,0
291,"planned parenthood,",augusta chronicle,0,0
292,"planned parenthood,",winstar communications inc,0,0
293,"planned parenthood,",national association of chairug stores,0,0
294,"planned parenthood,",at&t services inc,0,0
295,"planned parenthood,",national coalition of 100 black women,0,0
296,"planned parenthood,",campaign for tobacco-free kids,0,0
297,"planned parenthood,",dell computers corp,0,0
298,"planned parenthood,",dell computer corp,0,0
299,"planned parenthood,",pfizer inc,0,0
300,"planned parenthood,",natl automatic merchandising assoc,0,0
301,"planned parenthood,",lutherans concerned,0,0
302,"planned parenthood,",cadwalader wickersham & taft llp,0,0
303,"planned parenthood,",naral pro-choice oreogn,0,0
304,"planned parenthood,",william morris agency inc,0,0
305,american federation of state county and municipal employees,vietnam veterans of america,0,0
306,american federation of state county and municipal employees,american family association inc,0,0
307,american federation of state county and municipal employees,the san francisco aids foundation,0,0
308,american federation of state county and municipal employees,americans united for separation of church & state,0,0
309,american federation of state county and municipal employees,"planned parenthood,",0,0
310,american federation of state county and municipal employees,american federation of state county and municipal employees,1,1
311,american federation of state county and municipal employees,winstar communications llc,0,0
312,american federation of state county and municipal employees,JPMORGAN CHASE BANK NA,0,0
313,american federation of state county and municipal employees,planned parenthood federation of america,0,0
314,american federation of state county and municipal employees,common cause,0,0
315,american federation of state county and municipal employees,lutherans concerned north america,0,0
316,american federation of state county and municipal employees,aphilip randolph institute,0,0
317,american federation of state county and municipal employees,council of state government,0,0
318,american federation of state county and municipal employees,california bankers association,0,0
319,american federation of state county and municipal employees,public affairs council,0,0
320,american federation of state county and municipal employees,NATIONAL EDUCATION ASSOCIATION,0,0
321,american federation of state county and municipal employees,san francisco aids foundation,0,0
322,american federation of state county and municipal employees,"american ethicare, inc",0,0
323,american federation of state county and municipal employees,pepsi bottling group inc,0,0
324,american federation of state county and municipal employees,califoria teachers association,0,0
325,american federation of state county and municipal employees,agua claiente band of cahuilla indians,0,0
326,american federation of state county and municipal employees,agua caliente band of cahuilla indians,0,0
327,american federation of state county and municipal employees,planned parenthood federation of america inc,0,0
328,american federation of state county and municipal employees,sheet metal workers international assoc pal,0,0
329,american federation of state county and municipal employees,coalition of 100 black women,0,0
330,american federation of state county and municipal employees,pifizer inc,0,0
331,american federation of state county and municipal employees,national education association,0,0
332,american federation of state county and municipal employees,national association for the advancement of colored people legal defense and educational fund inc,0,0
333,american federation of state county and municipal employees,sheet metal workers international association,0,0
334,american federation of state county and municipal employees,california teachers assoc,0,0
335,american federation of state county and municipal employees,national association of independent insurance,0,0
336,american federation of state county and municipal employees,trout unlimited bellevue-issaquah chapte,0,0
337,american federation of state county and municipal employees,the augusta chronicle,0,0
338,american federation of state county and municipal employees,national association of independent insurers,0,0
339,american federation of state county and municipal employees,california bankers assoc,0,0
340,american federation of state county and municipal employees,american consulting engineers council,0,0
341,american federation of state county and municipal employees,cadwalader wickersham  taft,0,0
342,american federation of state county and municipal employees,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
343,american federation of state county and municipal employees,american civil liberties union,0,0
344,american federation of state county and municipal employees,vietnam veterns of america,0,0
345,american federation of state county and municipal employees,georgia real estate investors association inc,0,0
346,american federation of state county and municipal employees,campaign for tobacco free kids,0,0
347,american federation of state county and municipal employees,att services inc,0,0
348,american federation of state county and municipal employees,"the pepsi bottling group, inc",0,0
349,american federation of state county and municipal employees,national association for the advancement of colored people,0,0
350,american federation of state county and municipal employees,american consulting engineers coun,0,0
351,american federation of state county and municipal employees,naral pro choice oregon,0,0
352,american federation of state county and municipal employees,augusta chronicle,0,0
353,american federation of state county and municipal employees,winstar communications inc,0,0
354,american federation of state county and municipal employees,national association of chairug stores,0,0
355,american federation of state county and municipal employees,at&t services inc,0,0
356,american federation of state county and municipal employees,national coalition of 100 black women,0,0
357,american federation of state county and municipal employees,campaign for tobacco-free kids,0,0
358,american federation of state county and municipal employees,dell computers corp,0,0
359,american federation of state county and municipal employees,dell computer corp,0,0
360,american federation of state county and municipal employees,pfizer inc,0,0
361,american federation of state county and municipal employees,natl automatic merchandising assoc,0,0
362,american federation of state county and municipal employees,lutherans concerned,0,0
363,american federation of state county and municipal employees,cadwalader wickersham & taft llp,0,0
364,american federation of state county and municipal employees,naral pro-choice oreogn,0,0
365,american federation of state county and municipal employees,william morris agency inc,0,0
366,winstar communications llc,vietnam veterans of america,0,0
367,winstar communications llc,american family association inc,0,0
368,winstar communications llc,the san francisco aids foundation,0,0
369,winstar communications llc,americans united for separation of church & state,0,0
370,winstar communications llc,"planned parenthood,",0,0
371,winstar communications llc,american federation of state county and municipal employees,0,0
372,winstar communications llc,winstar communications llc,1,1
373,winstar communications llc,JPMORGAN CHASE BANK NA,0,0
374,winstar communications llc,planned parenthood federation of america,0,0
375,winstar communications llc,common cause,0,1
376,winstar communications llc,lutherans concerned north america,0,0
377,winstar communications llc,aphilip randolph institute,0,0
378,winstar communications llc,council of state government,0,0
379,winstar communications llc,california bankers association,0,0
380,winstar communications llc,public affairs council,0,0
381,winstar communications llc,NATIONAL EDUCATION ASSOCIATION,0,0
382,winstar communications llc,san francisco aids foundation,0,0
383,winstar communications llc,"american ethicare, inc",0,0
384,winstar communications llc,pepsi bottling group inc,0,0
385,winstar communications llc,califoria teachers association,0,0
386,winstar communications llc,agua claiente band of cahuilla indians,0,0
387,winstar communications llc,agua caliente band of cahuilla indians,0,0
388,winstar communications llc,planned parenthood federation of america inc,0,0
389,winstar communications llc,sheet metal workers international assoc pal,0,0
390,winstar communications llc,coalition of 100 black women,0,0
391,winstar communications llc,pifizer inc,0,0
392,winstar communications llc,national education association,0,0
393,winstar communications llc,national association for the advancement of colored people legal defense and educational fund inc,0,0
394,winstar communications llc,sheet metal workers international association,0,0
395,winstar communications llc,california teachers assoc,0,0
396,winstar communications llc,national association of independent insurance,0,0
397,winstar communications llc,trout unlimited bellevue-issaquah chapte,0,0
398,winstar communications llc,the augusta chronicle,0,0
399,winstar communications llc,national association of independent insurers,0,0
400,winstar communications llc,california bankers assoc,0,0
401,winstar communications llc,american consulting engineers council,0,0
402,winstar communications llc,cadwalader wickersham  taft,0,0
403,winstar communications llc,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
404,winstar communications llc,american civil liberties union,0,0
405,winstar communications llc,vietnam veterns of america,0,0
406,winstar communications llc,georgia real estate investors association inc,0,0
407,winstar communications llc,campaign for tobacco free kids,0,0
408,winstar communications llc,att services inc,0,1
409,winstar communications llc,"the pepsi bottling group, inc",0,0
410,winstar communications llc,national association for the advancement of colored people,0,0
411,winstar communications llc,american consulting engineers coun,0,0
412,winstar communications llc,naral pro choice oregon,0,0
413,winstar communications llc,augusta chronicle,0,0
414,winstar communications llc,winstar communications inc,1,1
415,winstar communications llc,national association of chairug stores,0,0
416,winstar communications llc,at&t services inc,0,0
417,winstar communications llc,national coalition of 100 black women,0,0
418,winstar communications llc,campaign for tobacco-free kids,0,0
419,winstar communications llc,dell computers corp,0,0
420,winstar communications llc,dell computer corp,0,0
421,winstar communications llc,pfizer inc,0,0
422,winstar communications llc,natl automatic merchandising assoc,0,0
423,winstar communications llc,lutherans concerned,0,0
424,winstar communications llc,cadwalader wickersham & taft llp,0,0
425,winstar communications llc,naral pro-choice oreogn,0,0
426,winstar communications llc,william morris agency inc,0,0
427,JPMORGAN CHASE BANK NA,vietnam veterans of america,0,0
428,JPMORGAN CHASE BANK NA,american family association inc,0,0
429,JPMORGAN CHASE BANK NA,the san francisco aids foundation,0,0
430,JPMORGAN CHASE BANK NA,americans united for separation of church & state,0,0
431,JPMORGAN CHASE BANK NA,"planned parenthood,",0,0
432,JPMORGAN CHASE BANK NA,american federation of state county and municipal employees,0,0
433,JPMORGAN CHASE BANK NA,winstar communications llc,0,0
434,JPMORGAN CHASE BANK NA,JPMORGAN CHASE BANK NA,1,1
435,JPMORGAN CHASE BANK NA,planned parenthood federation of america,0,0
436,JPMORGAN CHASE BANK NA,common cause,0,0
437,JPMORGAN CHASE BANK NA,lutherans concerned north america,0,0
438,JPMORGAN CHASE BANK NA,aphilip randolph institute,0,0
439,JPMORGAN CHASE BANK NA,council of state government,0,0
440,JPMORGAN CHASE BANK NA,california bankers association,0,0
441,JPMORGAN CHASE BANK NA,public affairs council,0,0
442,JPMORGAN CHASE BANK NA,NATIONAL EDUCATION ASSOCIATION,0,0
443,JPMORGAN CHASE BANK NA,san francisco aids foundation,0,0
444,JPMORGAN CHASE BANK NA,"american ethicare, inc",0,0
445,JPMORGAN CHASE BANK NA,pepsi bottling group inc,0,0
446,JPMORGAN CHASE BANK NA,califoria teachers association,0,0
447,JPMORGAN CHASE BANK NA,agua claiente band of cahuilla indians,0,0
448,JPMORGAN CHASE BANK NA,agua caliente band of cahuilla indians,0,0
449,JPMORGAN CHASE BANK NA,planned parenthood federation of america inc,0,0
450,JPMORGAN CHASE BANK NA,sheet metal workers international assoc pal,0,0
451,JPMORGAN CHASE BANK NA,coalition of 100 black women,0,0
452,JPMORGAN CHASE BANK NA,pifizer inc,0,0
453,JPMORGAN CHASE BANK NA,national education association,0,0
454,JPMORGAN CHASE BANK NA,national association for the advancement of colored people legal defense and educational fund inc,0,0
455,JPMORGAN CHASE BANK NA,sheet metal workers international association,0,0
456,JPMORGAN CHASE BANK NA,california teachers assoc,0,0
457,JPMORGAN CHASE BANK NA,national association of independent insurance,0,0
458,JPMORGAN CHASE BANK NA,trout unlimited bellevue-issaquah chapte,0,0
459,JPMORGAN CHASE BANK NA,the augusta chronicle,0,0
460,JPMORGAN CHASE BANK NA,national association of independent insurers,0,0
461,JPMORGAN CHASE BANK NA,california bankers assoc,0,0
462,JPMORGAN CHASE BANK NA,american consulting engineers council,0,0
463,JPMORGAN CHASE BANK NA,cadwalader wickersham  taft,0,0
464,JPMORGAN CHASE BANK NA,NATIONAL ASSOCIATION OF SOCIAL WORKERS,0,0
465,JPMORGAN CHASE BANK NA,american civil liberties union,0,0
466,JPMORGAN CHASE BANK NA,vietnam veterns of america,0,0
467,JPMORGAN CHASE BANK NA,georgia real estate investors association inc,0,0
468,JPMORGAN CHASE BANK NA,campaign for tobacco free kids,0,0
469,JPMORGAN CHASE BANK NA,att services inc,0,0
470,JPMORGAN CHASE BANK NA,"the pepsi bottling group, inc",0,0
471,JPMORGAN CHASE BANK NA,national association for the advancement of colored people,0,0
472,JPMORGAN CHASE BANK NA,american consulting engineers coun,0,0
473,JPMORGAN CHASE BANK NA,naral pro choice oregon,0,0
474,JPMORGAN CHASE BANK NA,augusta chronicle,0,0
475,JPMORGAN CHASE BANK NA,winstar communications inc,0,0
476,JPMORGAN CHASE BANK NA,national association of chairug stores,0,0
477,JPMORGAN CHASE BANK NA,at&t services inc,0,0
478,JPMORGAN CHASE BANK NA,national coalition of 100 black women,0,0
479,JPMORGAN CHASE BANK NA,campaign for tobacco-free kids,0,0
480,JPMORGAN CHASE BANK NA,dell computers corp,0,0
481,JPMORGAN CHASE BANK NA,dell computer corp,0,0
482,JPMORGAN CHASE BANK NA,pfizer inc,0,0
483,JPMORGAN CHASE BANK NA,natl automatic merchandising assoc,0,0
484,JPMORGAN CHASE BANK NA,lutherans concerned,0,0
485,JPMORGAN CHASE BANK NA,cadwalader wickersham & taft llp,0,0
486,JPMORGAN CHASE BANK NA,naral pro-choice oreogn,0,0
487,JPMORGAN CHASE BANK NA,william morris agency inc,0,0
488,planned parenthood federation of america,vietnam veterans of america,0,0
489,planned parenthood federation of america,american family association inc,0,0
490,planned parenthood federation of america,the san francisco aids foundation,0,0
491,planned parenthood federation of america,americans united for separation of church & state,0,0
492,planned parenthood federation of america,"planned parenthood,",1,1
493,planned parenthood federation of america,american federation of state county and municipal employees,0,0
494,planned parenthood federation of america,winstar communications llc,0,0
495,planned parenthood federation of america,JPMORGAN CHASE BANK NA,0,0
496,planned parenthood federation of america,planned parenthood federation of america,1,1
497,planned parenthood federation of america,common cause,0,0
498,planned parenthood federation of america,lutherans concerned north america,0,0
499,planned parenthood federation of america,aphilip randolph institute,0,0
500,planned parenthood federation of america,council of state government,0,0
501,planned parenthood federation of america,california bankers association,0,0
502,planned parenthood federation of america,public affairs council,0,0
503,planned parenthood federation of america,NATIONAL EDUCATION ASSOCIATION,0,0
504,planned parenthood federation of america,san francisco aids foundation,0,0
505,planned parenthood federation of america,"american ethicare, inc",0,0
506,planned parenthood federation of america,pepsi bottling group inc,0,0
507,planned parenthood federation of america,califoria teachers association,0,0
508,planned parenthood federation of america,agua claiente band of cahuilla indians,0,0
509,planned parenthood federation of america,agua caliente band of cahuilla indians,0,0
510,planned parenthood federation of america,planned parenthood federation of america inc,1,1
511,planned parenthood federation of america,sheet metal workers international assoc pal,0,0
512,planned parenthood federation of america,coalition of 100 black women,0,0
