"","amicus","bonica","match"
"68","JPMORGAN CHASE BANK NA","jp morgan, chase & co, pac",1
"69","JPMORGAN CHASE BANK NA","jp morgan chase & co st & fed pac",1
"70","JPMORGAN CHASE BANK NA","jp morgan chase corp",1
"71","JPMORGAN CHASE BANK NA","jp morgan morgan gaurantee trust c",1
"72","JPMORGAN CHASE BANK NA","jp morgan treasury technologies corp",1
"73","JPMORGAN CHASE BANK NA","jp morgan fleming asset management",1
"74","JPMORGAN CHASE BANK NA","jpmorgan chase pac",1
"75","JPMORGAN CHASE BANK NA","jp morgan chase & co federal political action committee pac-",1
"76","JPMORGAN CHASE BANK NA","jp morgan chase co pac",1
"77","JPMORGAN CHASE BANK NA","jp morgan investment management inc",1
"78","JPMORGAN CHASE BANK NA","jp morgan chase & comp pac",1
"79","JPMORGAN CHASE BANK NA","jp morgan chase state & fed pac",1
"80","JPMORGAN CHASE BANK NA","jp morgan chase pac",1
"81","JPMORGAN CHASE BANK NA","jp morgan chase &co pac",1
"82","JPMORGAN CHASE BANK NA","jpmorgan chase & co pac",1
"83","JPMORGAN CHASE BANK NA","j p morgan chase & co pac",1
"84","JPMORGAN CHASE BANK NA","jp morgan chase& co, state & fed pac",1
"85","JPMORGAN CHASE BANK NA","jp morgan securities",1
"86","JPMORGAN CHASE BANK NA","jp morgan chase & co- pac",1
"87","JPMORGAN CHASE BANK NA","jp morgan",1
"88","JPMORGAN CHASE BANK NA","jp morgan securities inc",1
"89","JPMORGAN CHASE BANK NA","jp morgan chase securities inc conference",1
"90","JPMORGAN CHASE BANK NA","jp morgan property exchange inc",1
"91","JPMORGAN CHASE BANK NA","jp morgan chase national corporate services inc",1
"92","JPMORGAN CHASE BANK NA","jp morgan chase co - pac",1
"93","JPMORGAN CHASE BANK NA","jp morgan trust co of delaware",1
"94","JPMORGAN CHASE BANK NA","jp morgan chase & co pal",1
"95","JPMORGAN CHASE BANK NA","jp morgan chase bank",1
"96","JPMORGAN CHASE BANK NA","jp morgan chase 7 co",1
"97","JPMORGAN CHASE BANK NA","jp morgan securities, inc",1
"98","INVESTMENT COMPANY INSTITUTE","investment company institute pac",1
"99","INVESTMENT COMPANY INSTITUTE","INVESTMENT MANAGEMENT POLITICAL ACTION CMTE OF THE INVESTMENT COMPANY INSTITUTE IMPAC",1
"100","INVESTMENT COMPANY INSTITUTE","investment company institute",1
"101","INVESTMENT COMPANY INSTITUTE","investment company institute polit",1
"102","MOTION PICTURE ASSOCIATION OF AMERICA","motion picture association of america",1
"103","MOTION PICTURE ASSOCIATION OF AMERICA","motion picture assn",1
"104","MOTION PICTURE ASSOCIATION OF AMERICA","motion picture association of amer",1
"105","MOTION PICTURE ASSOCIATION OF AMERICA","motion picture association of america, inc",1
"106","MOTION PICTURE ASSOCIATION OF AMERICA","motion picture association pac",1
"107","MOTION PICTURE ASSOCIATION OF AMERICA","MOTION PICTURE ASSOCIATION POLITICAL ACTION COMMITTEE",1
"108","MOTION PICTURE ASSOCIATION OF AMERICA","motion picture association",1
"109","CONSUMER FEDERATION OF AMERICA","CONSUMER FEDERATION OF AMERICA:POLITICAL ACTION COMMITTEE",1
"110","UNITED ELECTRICAL","UNITED ELECTRICAL RADIO AND MACHINE WORKERS OF AMERICA U E LOCAL 1111 PAC",1
"111","INTERNATIONAL COUNCIL OF SHOPPING CENTERS","international council of shopping centers",1
"112","INTERNATIONAL COUNCIL OF SHOPPING CENTERS","INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE ICSC PAC",1
"113","INTERNATIONAL COUNCIL OF SHOPPING CENTERS","intl council of shopping centers p",1
"123","NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION","nema",1
"124","NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION","NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE NEMA PAC",1
"125","AMERICAN PSYCHIATRIC ASSOCIATION","american psychiatric association",1
"126","AMERICAN PSYCHIATRIC ASSOCIATION","AMERICAN PSYCHIATRIC ASSOCIATION POLITICAL ACTION COMMITTEE",1
"127","NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS","NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS POLITICAL ACTION COMMITTEE",1
"129","CALIFORNIA MEDICAL ASSOCIATION","california medical association pac calpac",1
"130","CALIFORNIA MEDICAL ASSOCIATION","california medical association",1
"131","NATIONAL ASSOCIATION OF SOCIAL WORKERS","national association of social workers new york city",1
"132","NATIONAL ASSOCIATION OF SOCIAL WORKERS","national association of social workers pac",1
"133","NATIONAL ASSOCIATION OF SOCIAL WORKERS","nasw, nyc pace",1
"134","NATIONAL ASSOCIATION OF SOCIAL WORKERS","nasw nyc chapter pace",1
"135","NATIONAL ASSOCIATION OF SOCIAL WORKERS","nyc pac",1
"136","NATIONAL ASSOCIATION OF SOCIAL WORKERS","national association of social worker pac",1
"137","NATIONAL ASSOCIATION OF SOCIAL WORKERS","national association of social workers",1
"138","NATIONAL ASSOCIATION OF SOCIAL WORKERS","new york city chapter of national association of social workers",1
"139","NATIONAL ASSOCIATION OF SOCIAL WORKERS","nyc pace",1
"140","ASSOCIATION OF AMERICAN PUBLISHERS","calpac association of american publishers",1
"141","ASSOCIATION OF AMERICAN PUBLISHERS","association of american publishers, inc",1
"142","ASSOCIATION OF AMERICAN PUBLISHERS","association of american publishers",1
"143","NATIONAL ASSOCIATION OF HOMEBUILDERS","national association of home builders",1
"144","DEFENDERS OF WILDLIFE","defenders of wildlife",1
"145","AMERICAN BANKERS ASSOCIATION","american bankers assn",1
"146","NATIONAL ASSOCIATION OF COUNTIES","national association of counties",1
"147","UNITED AUTO WORKERS","united brotherhood of carpenters",1
"148","NATIONAL EDUCATION ASSOCIATION","national education association nea",1
"149","NATIONAL EDUCATION ASSOCIATION","national education association",1
"150","NATIONAL EDUCATION ASSOCIATION","national education association pac",1
"151","NATIONAL EDUCATION ASSOCIATION","NATIONAL EDUCATION ASSOCIATION",1
"152","NATIONAL EDUCATION ASSOCIATION","national education assn",1
"153","MONSANTO CO","monsanto company",1
"154","JOHNSON AND JOHNSON","johnson & johnson corporate",1
"155","AMERICAN MEDICAL ASSOCIATION","american medical assn",1
"156","SCREEN ACTORS GUILD","screen actors guild",1
"157","AMERICAN ASSOCIATION OF RETIRED PERSONS","american association of retired persons",1
"158","COMMON CAUSE","common cause",1
"159","SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT AND POWER DISTRICT","salt river project pac",1
"160","NATIONAL ASSOCIATION OF BROADCASTERS INC","national association of broadcaste",1
"161","NATIONAL ASSOCIATION OF BROADCASTERS INC","national association of broadcasters televison & radio political action committee",1
"162","NATIONAL ASSOCIATION OF BROADCASTERS INC","national association of broadcasters pac",1
"163","NATIONAL ASSOCIATION OF BROADCASTERS INC","national association of broadcasters",1
"164","NATIONAL ASSOCIATION OF BROADCASTERS INC","national association of broadcasters television & radio political action committee",1
"165","NATIONAL ASSOCIATION OF BROADCASTERS INC","television & radio pac",1
"166","RECORDING INDUSTRY ASSOCIATION OF AMERICA","recording industry assoc of america, inc",1
"167","RECORDING INDUSTRY ASSOCIATION OF AMERICA","recording industry assoc of america",1
"168","RECORDING INDUSTRY ASSOCIATION OF AMERICA","recording industry assoc of americ",1
"169","RECORDING INDUSTRY ASSOCIATION OF AMERICA","recording industry assoc of america inc",1
"170","AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS","american institute of certified public accountants",1
"171","GENERAL ELECTRIC CO","general electric",1
"172","AMERICAN PUBLIC POWER ASSOCIATION","american public power association public ownership",1
"173","AMERICAN CIVIL LIBERTIES UNION OF ILLINOIS","american civil liberties union",1
"174","AMERICAN CIVIL LIBERTIES UNION OF NORTHERN CALIFORNIA","american civil liberties union",1
"175","AMERICAN CIVIL LIBERTIES UNION FOUNDATION OF SOUTHERN CALIFORNIA","american civil liberties union",1
"176","AMERICAN CIVIL LIBERTIES UNION OF COLORADO","american civil liberties union",1
"177","AMERICAN CIVIL LIBERTIES UNION","american civil liberties union",1
"178","AMERICAN CIVIL LIBERTIES UNION OF SOUTHERN CALIFORNIA","american civil liberties union",1
"179","AMERICAN CIVIL LIBERTIES UNION OF PENNSYLVANIA","american civil liberties union",1
"183","AMERICAN HOTEL AND LODGING ASSOCIATION","american hotel & lodging associa",1
"184","SECURITIES INDUSTRIES ASSOCIATION","securities industries assoc",1
"185","TROUT UNLIMITED INC","trout unlimited bellevue-issaquah chapte",1
"186","NATIONAL COUNCIL OF JEWISH WOMEN","national council jewish women austin section",1
"187","NATIONAL ASSOCIATION OF MANUFACTURERS","national assoc of mfgs suite 1500",1
"188","NATIONAL ASSOCIATION OF THEATER OWNERS","national association of theatre owners of canevada",1
"189","NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE","naacp co op city branch",1
"190","FRIENDS OF THE EARTH","friends of the earth action pac",1
"191","EI DUPONT DE NEMOURS AND CO","ei du pont de nemours & co",1
"192","EDISON ELECTRIC INSTITUTE","edison electric institute-eei",1
"193","COUNCIL OF STATE GOVERNMENTS","council of state govt",1
"194","COUNCIL OF STATE GOVERNMENTS","council of state government",1
"195","ASSOCIATED GENERAL CONTRACTORS OF AMERICA","assoc gen contractors of america",1
"196","AMERICAN TELEPHONE AND TELEGRAPH","american telephone & telegraph",1
"197","AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE","americans united for separation of church & state",1
"198","AMERICAN JEWISH COMMITTEE","american jewish cmte",1
"199","AMERICAN JEWISH CONGRESS","american jewis congress st louis region",1
"200","AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS","american federation of tv & radio artists",1
"201","AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS","american federation of labor & c",1
"202","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS","american federation of gov emp",1
"204","AMERICAN ETHICAL UNION","american ethicare, inc",1
"205","AMERICAN ETHICAL UNION","american ethicare",1
"206","AMERICAN ASSOCIATION OF UNIVERSITY PROFESSORS","american association of university professors",1
"209","american jewish committee","american jewish cmte",1
"210","american medical womens association","american medical womens assn",1
"211","anti-defamation league","anti defamation league",1
"212","anti-defamation league b'nai b'rith","anti defamation league",1
"213","coalition of 100 black women","national coalition of 100 black women",1
"214","family planning association of maine","family planning associates of maine",1
"215","family planning association of maine","family planning association of me",1
"216","family planning association of maine","family planning association of maine inc",1
"217","feminist majority","feminist majority foundation",1
"218","girls incorporated","copy girls inc",1
"219","lutherans concerned north america","lutherans concerned",1
"220","national association for the advancement of colored people legal defense and educational fund inc","national association for the advancement of colored people",1
"221","national bar association","nba",1
"222","national gay and lesbian task force","national gay & lesbian task force",1
"223","national gay and lesbian task force","national gay and lesbian task force inc",1
"224","national gay and lesbian task force","national gay & lesbian task force foundation",1
"225","national gay and lesbian task force","national gay & lesbian task force action fund",1
"226","national gay and lesbian task force","national gay & lesbian task force policy institute",1
"227","national institute for women of color","national institute for",1
"228","national organization for women foundation inc","natl organization for women",1
"229","national organization for women foundation inc","national organization for women",1
"230","national organization for women foundation inc","national organization for wome",1
"231","national organization for women foundation inc","national org for women",1
"232","national organization for women foundation inc","national orgfor women",1
"233","national organization for women foundation inc","national organization for womennow",1
"234","people for the american way fo undation","people for the america way foundation",1
"235","people for the american way fo undation","people for the american way foundation",1
"236","people for the american way fo undation","people for the american way",1
"237","planned parenthood federation of america inc","planned parenthood",1
"238","planned parenthood federation of america inc","planned parenthood,",1
"239","planned parenthood federation of america inc","planned parenthood federation of america",1
"240","planned parenthood federation of america inc","planned parent hood",1
"241","planned parenthood federation of america inc","planned parenthood federation of america ppfa",1
"242","southern christian leadership conference","southern christian leadership",1
"243","young womens christian association","ywca of the usa",1
"244","young womens christian association","young womens christian assoc",1
"245","young womens christian association of the united states of america","young womens christian assoc",1
"246","young womens christian association of the united states of america","ywca of the usa",1
"247","young womens christian association of the united states of america","ywc corporation",1
